,Year,File,high_competition_count,Technology_competition_count
0,2017,5981.html,32,37
1,2017,6284.html,74,113
2,2017,1800.html,37,28
3,2017,6176.html,40,14
4,2017,4457.html,34,19
5,2017,4962.html,168,90
6,2017,6207.html,8,9
7,2017,3545.html,27,15
8,2017,6281.html,101,95
9,2017,5272.html,255,38
10,2017,2098.html,40,20
11,2017,5513.html,137,34
12,2017,2488.html,115,112
13,2017,3197.html,73,63
14,2017,3116.html,60,45
15,2017,2178.html,20,10
16,2017,4187.html,33,8
17,2017,2186.html,35,56
18,2017,3453.html,64,36
19,2017,4904.html,26,31
20,2017,2969.html,100,44
21,2017,1750.html,19,13
22,2017,6201.html,112,57
23,2017,3570.html,35,25
24,2017,2034.html,51,34
25,2017,4281.html,101,52
26,2017,4447.html,79,20
27,2017,3499.html,34,19
28,2017,4977.html,52,37
29,2017,4127.html,86,71
30,2010,1923.html,18,22
31,2010,2491.html,51,60
32,2010,1800.html,44,41
33,2010,4457.html,34,19
34,2010,4962.html,0,0
35,2010,4611.html,24,11
36,2010,3545.html,0,0
37,2010,3982.html,50,22
38,2010,2098.html,31,13
39,2010,2488.html,77,124
40,2010,3197.html,47,38
41,2010,3116.html,39,29
42,2010,2178.html,12,8
43,2010,4187.html,23,9
44,2010,2186.html,25,39
45,2010,2601.html,105,155
46,2010,3673.html,88,60
47,2010,3453.html,131,38
48,2010,4904.html,36,19
49,2010,2969.html,78,49
50,2010,1750.html,18,17
51,2010,3570.html,39,32
52,2010,2034.html,25,14
53,2010,3952.html,7,0
54,2010,4281.html,85,42
55,2010,4447.html,41,18
56,2010,3499.html,18,16
57,2010,4977.html,62,23
58,2010,5133.html,42,21
59,2010,4127.html,83,66
60,2013,2491.html,65,75
61,2013,5981.html,42,24
62,2013,1800.html,33,34
63,2013,6176.html,20,8
64,2013,4457.html,32,17
65,2013,4962.html,135,108
66,2013,3545.html,19,8
67,2013,5272.html,235,28
68,2013,5768.html,47,59
69,2013,2098.html,29,18
70,2013,5513.html,165,24
71,2013,2488.html,82,114
72,2013,3197.html,45,58
73,2013,3116.html,47,40
74,2013,2178.html,16,11
75,2013,4187.html,37,14
76,2013,2186.html,29,48
77,2013,3453.html,77,36
78,2013,4904.html,30,23
79,2013,2969.html,91,47
80,2013,1750.html,25,20
81,2013,6201.html,96,50
82,2013,3570.html,38,34
83,2013,2034.html,35,20
84,2013,4281.html,130,48
85,2013,4447.html,42,16
86,2013,3499.html,21,15
87,2013,4977.html,56,25
88,2013,5133.html,84,41
89,2013,4127.html,86,71
90,2011,2491.html,21,27
