,Area,Job_title,Company,Experience,Salary,Location,Description,Tag assosiated,Posting_date
0,Accounting Jobs,Dy Manager Finance (mis) - Hyderabad,RESOURCE ACCESS MANAGEMENT SOLUTIONS PVT LTD,2-6 Yrs,Not disclosed,Hyderabad, Strong MIS Reporting experience with strong experience in generating excel based manual...,None,17 Days Ago
1,Accounting Jobs,Bookkeeper - Accountant,Accounting Firm,3-5 Yrs,"3,75,000 - 6,00,000 PA.","Hyderabad, Vijayawada", MUST have a minimum of 3 years in core accounting experienceMUST have EXCELLENT English...,None,None
2,Accounting Jobs,Accounting Executive,Accounting People,1-6 Yrs,Not disclosed,Mumbai," Job description Preparation of Balance Sheet and Profit & Loss account , Scrutiny of Ge...",None,15 Days Ago
3,Accounting Jobs,Semi Qualified CA,Accounting People,0-5 Yrs,Not disclosed,Mumbai," Chartered Accountant plan, organize, direct, control and evaluate the operation of fina...",None,15 Days Ago
4,Accounting Jobs,AM- Accounts & Costing- Hosur- Delmonte,FieldFresh Foods Pvt Ltd,8-12 Yrs,Not disclosed,Hosur, Experience,None,2 Days Ago
5,Accounting Jobs,Record To Report-fixed Asset Accounting,Accenture Solutions Pvt Ltd,3-5 Yrs,Not disclosed,Bengaluru, Qualifications: Any Graduation You will be working as a part of Record To Report team w...,None,None
6,Accounting Jobs,Department Head - Accounts & Finance,Mama Mia India,2-7 Yrs,Not disclosed,Kolkata," To be successful in this role, you should have experience crafting financial strategies...",None,2 Days Ago
7,Accounting Jobs,Manager - Finance & Accounts - CA,mPokket,3-5 Yrs,Not disclosed,Kolkata, Requirements : - You have a Bachelors degree in Accounting or related field and are a q...,None,2 Days Ago
8,Accounting Jobs,Department Head - Accounts & Finance,Mama Mia India,9-14 Yrs,Not disclosed,Kolkata," To be successful in this role, you should have experience crafting financial strategies...",None,2 Days Ago
9,Accounting Jobs,Accounts Executive,Sunrise Human Consultancy,1-4 Yrs,Not disclosed,Mumbai," Job Description Candidate should be good knowledge of GST, other taxation, account fina...",None,None
10,Accounting Jobs,Section Manager-Accounts,Morgan Placement and Consultancy,8-13 Yrs,Not disclosed,"Gwalior, morena", Section Manager-Accounts Job Description Basic accounting 1.Tally 2.Knowledge of GST 3....,None,None
11,Accounting Jobs,ACCOUNTANT,hardlandscape constructions pvt.ltd.,1-5 Yrs,Not disclosed,Ahmedabad," Required Skills : B.COM, M.COM ( MALE / FEMALE) Required Experience : MUST HAVE KNOWLED...",None,None
12,Accounting Jobs,PE - ACCOUNTS,Cognizant Technology Solutions India Ltd,2-4 Yrs,Not disclosed,Coimbatore, Job Description - ProcessExecutive Accounts Qualification: B Com / M Com Execution of G...,None,None
13,Accounting Jobs,Officer Accounts,United HR Solutions Pvt Ltd,2-6 Yrs,Not disclosed,Ahmedabad," Qualification : B.Com, M.Com Job Responsibilities : Entry of bank payment through e- ne...",None,None
14,Accounting Jobs,Accounts Executive ,Sunrise Consulting Services,1-5 Yrs,Not disclosed,Mumbai," Candidate should be good knowledge of GST, other taxation, account finalisation, tally ...",None,None
15,Accounting Jobs,Accounting Intern,Stanley Black Decker India Ltd.,1-2 Yrs,Not disclosed,Delhi, JOB SUMMARY The successful candidate who performs well in this role will have growth op...,None,None
